ID,,time,talking,Subject pair ID,Method,mord
1,0.00694444444444444,600,35.5,1,Forced commit,1
3,0.00578703703703704,500,44.6,1,Voting commit,2
5,0.00634259259259259,548,25.18,2,Voting commit,1
7,0.00350694444444444,303,23.1,2,Forced commit,2
9,0.00530092592592593,458,31,3,Forced commit,1
11,0.00521990740740741,451,11.97,3,Voting commit,2
13,0.0046875,405,16.3,4,Voting commit,1
15,0.00378472222222222,327,35.17,4,Forced commit,2
17,0.00326388888888889,282,20.57,5,Forced commit,1
19,0.00423611111111111,366,39.62,5,Voting commit,2
21,0.00574074074074074,496,14.92,6,Voting commit,1
23,0.00537037037037037,464,21.34,6,Forced commit,2
25,0.00539351851851852,466,35.41,7,Forced commit,1
27,0.00663194444444444,573,38.57,7,Voting commit,2
29,0.00560185185185185,484,30.37,8,Voting commit,1
31,0.00505787037037037,437,21.28,8,Forced commit,2
33,0.00605324074074074,523,30.4,9,Forced commit,1
35,0.00694444444444444,600,38.67,9,Voting commit,2
37,0.00592592592592593,512,14.06,10,Voting commit,1
39,0.00603009259259259,521,28.6,10,Forced commit,2
